fecha;conversion_dolar
4-27-2018;623765.77
4-28-2018;623765.77
4-29-2018;623765.77
4-30-2018;621498.49
5-1-2018;621498.49
5-2-2018;637053.28
5-3-2018;648811.53
5-4-2018;643571.09
5-5-2018;643571.09
5-6-2018;643571.09
5-7-2018;636771.03
5-8-2018;661824.52
5-9-2018;690854.12
5-10-2018;697211.06
5-11-2018;710845.12
5-12-2018;710845.12
5-13-2018;710845.12
5-14-2018;710845.12
5-15-2018;711433.45
5-16-2018;731454.55
5-17-2018;745625.23
5-18-2018;752354.88
5-19-2018;752354.88
5-20-2018;752354.88
5-21-2018;761545.1
5-22-2018;810274.88
5-23-2018;855681.79
5-24-2018;879347.22
5-25-2018;931821.56
5-26-2018;931821.56
5-27-2018;931821.56
5-28-2018;990754.12
5-29-2018;995488.41
5-30-2018;1143564.25
5-31-2018;1253684.21
6-1-2018;1400135.87
6-2-2018;1400135.87
6-3-2018;1400135.87
6-4-2018;1400135.87
6-5-2018;1790422.05
6-6-2018;1887544.51
6-7-2018;2050198.1
6-8-2018;2050345.73
6-9-2018;2050345.73
6-10-2018;2050345.73
6-11-2018;2201543.1
6-12-2018;2250725.22
6-13-2018;2352872.15
6-14-2018;2291385.44
6-15-2018;2298257.33
6-16-2018;2298257.33
6-17-2018;2298257.33
6-18-2018;2299173.25
6-19-2018;2580622.73
6-20-2018;2803495.81
6-21-2018;2902142.35
6-22-2018;2951374.61
6-23-2018;2951374.61
6-24-2018;2951374.61
6-25-2018;2955830.74
6-26-2018;3300248.25
6-27-2018;3402186.33
6-28-2018;3408671.41
6-29-2018;3405751.03
6-30-2018;3405751.03
7-1-2018;3405751.03
7-2-2018;3410625.2
7-3-2018;3408522.61
7-4-2018;3500265.82
7-5-2018;3500265.82
7-6-2018;3498521.75
7-7-2018;3498521.75
7-8-2018;3498521.75
7-9-2018;3495210.45
7-10-2018;3492815.11
7-11-2018;3410269.14
7-12-2018;3411685.2
7-13-2018;3415688.9
7-14-2018;3415688.9
7-15-2018;3415688.9
7-16-2018;3418605.2
7-17-2018;3670551.41
7-18-2018;3721215.3
7-19-2018;3722105
7-20-2018;3619833.2
7-21-2018;3619833.2
7-22-2018;3619833.2
7-23-2018;3525573.02
7-24-2018;3525573.02
7-25-2018;3527060.1
7-26-2018;3525680.85
7-27-2018;3524330.15
7-28-2018;3524330.15
7-29-2018;3524330.15
7-30-2018;3527230.71
7-31-2018;3585674.2
8-1-2018;3602412.11
8-2-2018;3629543.31
8-3-2018;3651266.71
8-4-2018;3651266.71
8-5-2018;3651266.71
8-6-2018;3672105.91
8-7-2018;3678341.65
8-8-2018;3811284.25
8-9-2018;3905812.62
8-10-2018;4101273.51
8-11-2018;4101273.51
8-12-2018;4101273.51
8-13-2018;4205184.2
8-14-2018;4315688.91
8-15-2018;4725940.1
8-16-2018;5409511.25
8-17-2018;5921486.23
8-18-2018;5921486.23
8-19-2018;59.21
8-20-2018;59.21
8-21-2018;65.18
8-22-2018;71.21
8-23-2018;75.32
8-24-2018;83.47
8-25-2018;83.47
8-26-2018;83.47
8-27-2018;84.31
8-28-2018;86.18
8-29-2018;87.35
8-30-2018;86.47
8-31-2018;87.22
9-1-2018;87.22
9-2-2018;87.22
9-3-2018;87.68
9-4-2018;88.09
9-5-2018;90.23
9-6-2018;90.51
9-7-2018;91.64
9-8-2018;91.64
9-9-2018;91.64
9-10-2018;91.64
9-11-2018;92.37
9-12-2018;93.11
9-13-2018;93.21
9-14-2018;92.89
9-15-2018;92.89
9-16-2018;92.89
9-17-2018;92.11
9-18-2018;92.33
9-19-2018;92.07
9-20-2018;92.66
9-21-2018;93.08
9-22-2018;93.08
9-23-2018;93.08
9-24-2018;96.45
9-25-2018;96.3
9-26-2018;97.08
9-27-2018;97.51
9-28-2018;98.06
9-29-2018;98.06
9-30-2018;98.06
10-1-2018;98.56
10-2-2018;99.12
10-3-2018;101.34
10-4-2018;101.5
10-5-2018;102.97
10-6-2018;102.97
10-7-2018;102.97
10-8-2018;103.5
10-9-2018;105.44
10-10-2018;110.31
10-11-2018;115.29
10-12-2018;115.29
10-13-2018;115.29
10-14-2018;115.29
10-15-2018;125.08
10-16-2018;136.05
10-17-2018;147.83
10-18-2018;156.43
10-19-2018;167.36
10-20-2018;167.36
10-21-2018;167.36
10-22-2018;171.34
10-23-2018;175.44
10-24-2018;191.07
10-25-2018;201.15
10-26-2018;212.31
10-27-2018;212.31
10-28-2018;212.31
10-29-2018;230.05
10-30-2018;240.28
10-31-2018;238.79
11-1-2018;235.68
11-2-2018;236.4
11-3-2018;236.4
11-4-2018;236.4
11-5-2018;236.4
11-6-2018;239.81
11-7-2018;242.15
11-8-2018;243.65
11-9-2018;250.74
11-10-2018;250.74
11-11-2018;250.74
11-12-2018;255.24
11-13-2018;255.71
11-14-2018;260.09
11-15-2018;263.35
11-16-2018;270.41
11-17-2018;270.41
11-18-2018;270.41
11-19-2018;280.33
11-20-2018;290.71
11-21-2018;311.29
11-22-2018;318.04
11-23-2018;326.17
11-24-2018;326.17
11-25-2018;326.17
11-26-2018;333.24
11-27-2018;357.42
11-28-2018;376.21
11-29-2018;398.36
11-30-2018;406.15
12-1-2018;406.15
12-2-2018;406.15
12-3-2018;423.54
12-4-2018;466.19
12-5-2018;498.64
12-6-2018;527.15
12-7-2018;530.74
12-8-2018;530.74
12-9-2018;530.74
12-10-2018;550.29
12-11-2018;570.61
12-12-2018;583.23
12-13-2018;601.09
12-14-2018;647.29
12-15-2018;647.29
12-16-2018;647.29
12-17-2018;675.24
12-18-2018;678.35
12-19-2018;683.44
12-20-2018;685.19
12-21-2018;686.73
12-22-2018;686.73
12-23-2018;686.73
12-24-2018;686.73
12-25-2018;686.73
12-26-2018;686.73
12-27-2018;710.54
12-28-2018;730.29
12-29-2018;730.29
12-30-2018;730.29
12-31-2018;730.29
1-1-2019;730.29
1-2-2019;781.28
1-3-2019;810.96
1-4-2019;841.24
1-5-2019;841.24
1-6-2019;841.24
1-7-2019;910.68
1-8-2019;981.35
1-9-2019;1120.17
1-10-2019;1890.12
1-11-2019;2189.47
1-12-2019;2189.47
1-13-2019;2189.47
1-14-2019;2970.47
1-15-2019;3100.18
1-16-2019;3155.68
1-17-2019;2951.98
1-18-2019;2902.87
1-19-2019;2902.87
1-20-2019;2902.87
1-21-2019;2548.14
1-22-2019;2431.52
1-23-2019;2380.61
1-24-2019;2415.77
1-25-2019;2560.86
1-26-2019;2560.86
1-27-2019;2560.86
1-28-2019;3188.62
1-29-2019;3196.12
1-30-2019;2915.88
1-31-2019;2715.41
2-1-2019;2580.25
2-2-2019;2580.25
2-3-2019;2580.25
2-4-2019;2430.78
2-5-2019;2486.25
2-6-2019;2605.01
2-7-2019;2808.33
2-8-2019;3120.46
2-9-2019;3120.46
2-10-2019;3120.46
2-11-2019;3275.24
2-12-2019;3270.6
2-13-2019;3253.47
2-14-2019;3195.15
2-15-2019;3010.47
2-16-2019;3010.47
2-17-2019;3010.47
2-18-2019;3015.58
2-19-2019;3180.42
2-20-2019;3320.74
2-21-2019;3350.24
2-22-2019;3593.78
2-23-2019;3593.78
2-24-2019;3593.78
2-25-2019;3643.78
2-26-2019;3720.11
2-27-2019;3723.14
2-28-2019;3701.12
3-1-2019;3715.41
3-2-2019;3715.41
3-3-2019;3715.41
3-4-2019;3715.41
3-5-2019;3715.41
3-6-2019;3705.98
3-7-2019;3673.74
3-8-2019;3603.44
3-9-2019;3603.44
3-10-2019;3603.44
3-11-2019;3600.84
3-12-2019;3540.33
3-13-2019;3478.14
3-14-2019;3420.88
3-15-2019;3490.39
3-16-2019;3490.39
3-17-2019;3490.39
3-18-2019;3410.47
3-19-2019;3410.47
3-20-2019;3444.14
3-21-2019;3427.24
3-22-2019;3464.89
3-23-2019;3464.89
3-24-2019;3464.89
3-25-2019;3501.36
3-26-2019;3570.21
3-27-2019;3608.85
3-28-2019;3630.59
3-29-2019;3678.14
3-30-2019;3678.14
3-31-2019;3678.14
4-1-2019;3714.87
4-2-2019;3705.51
4-3-2019;3690.66
4-4-2019;3720.8
4-5-2019;3789.66
4-6-2019;3789.66
4-7-2019;3789.66
4-8-2019;3799.14
4-9-2019;3809.11
4-10-2019;4009.47
4-11-2019;4020.37
4-12-2019;4508.06
4-13-2019;4508.06
4-14-2019;4508.06
4-15-2019;4783.15
4-16-2019;4982.71
4-17-2019;4982.71
4-18-2019;4982.71
4-19-2019;4982.71
4-20-2019;4982.71
4-21-2019;4982.71
4-22-2019;5014.72
4-23-2019;5286.41
4-24-2019;5269.68
4-25-2019;5389.22
4-26-2019;5627.63
4-27-2019;5627.63
4-28-2019;5627.63
4-29-2019;5813.74
4-30-2019;6124.24
5-1-2019;6124.24
5-2-2019;6138.22
5-3-2019;6113.34
5-4-2019;6113.34
5-5-2019;6113.34
5-6-2019;6011.61
5-7-2019;6009.44
5-8-2019;5886.15
5-9-2019;5820.21
5-10-2019;5790.21
5-11-2019;5790.21
5-12-2019;5790.21
5-13-2019;5698.53
5-14-2019;5602.74
5-15-2019;5652.97
5-16-2019;5692.45
5-17-2019;5705.94
5-18-2019;5705.94
5-19-2019;5705.94
5-20-2019;5794.14
5-21-2019;5777.33
5-22-2019;5803.43
5-23-2019;5885.22
5-24-2019;5918.43
5-25-2019;5918.43
5-26-2019;5918.43
5-27-2019;5948.63
5-28-2019;6196.51
5-29-2019;6203.11
5-30-2019;6272.33
5-31-2019;6347.31
6-1-2019;6347.31
6-2-2019;6347.31
6-3-2019;6393.12
6-4-2019;6421.02
6-5-2019;6383.11
6-6-2019;6346.65
6-7-2019;6300.98
6-8-2019;6300.98
6-9-2019;6300.98
6-10-2019;6348.24
6-11-2019;6406.73
6-12-2019;6474.44
6-13-2019;6572.21
6-14-2019;6802.83
6-15-2019;6802.83
6-16-2019;6802.83
6-17-2019;6918.32
6-18-2019;7007.15
6-19-2019;7173.39
6-20-2019;7175.44
6-21-2019;7321.54
6-22-2019;7321.54
6-23-2019;7321.54
6-24-2019;7321.54
6-25-2019;7402.11
6-26-2019;7640.61
6-27-2019;7682.64
6-28-2019;7879.54
6-29-2019;7879.54
6-30-2019;7879.54
7-1-2019;7846.31
7-2-2019;7903.34
7-3-2019;7889.32
7-4-2019;7821.44
7-5-2019;7821.44
7-6-2019;7821.44
7-7-2019;7821.44
7-8-2019;7887.02
7-9-2019;7794.91
7-10-2019;7794.91
7-11-2019;7870.29
7-12-2019;8012.71
7-13-2019;8012.71
7-14-2019;8012.71
7-15-2019;8165.44
7-16-2019;9076.22
7-17-2019;9523.03
7-18-2019;9941.1
7-19-2019;10606.33
7-20-2019;10606.33
7-21-2019;10606.33
7-22-2019;10979.33
7-23-2019;11275.12
7-24-2019;11275.12
7-25-2019;11185.04
7-26-2019;11866.45
7-27-2019;11866.45
7-28-2019;11866.45
7-29-2019;11953.29
7-30-2019;12231.03
7-31-2019;12609.74
8-1-2019;13016.84
8-2-2019;13107.55
8-3-2019;13107.55
8-4-2019;13107.55
8-5-2019;13139.32
8-6-2019;13221.1
8-7-2019;13305.31
8-8-2019;13680.81
8-9-2019;13807.52
8-10-2019;13807.52
8-11-2019;13807.52
8-12-2019;14058.12
8-13-2019;14159.22
8-14-2019;14379.22
8-15-2019;14392.21
8-16-2019;14502.32
8-17-2019;14502.32
8-18-2019;14502.32
8-19-2019;15033.49
8-20-2019;15121.33
8-21-2019;16104.12
8-22-2019;16247.12
8-23-2019;16485.54
8-24-2019;16485.54
8-25-2019;16485.54
8-26-2019;16762.11
8-27-2019;18860.31
8-28-2019;20635.41
8-29-2019;23204.77
8-30-2019;25950.42
8-31-2019;25950.42
9-1-2019;25950.42
9-2-2019;26012.82
9-3-2019;26003.72
9-4-2019;21100.41
9-5-2019;20963.11
9-6-2019;21051.03
9-7-2019;21051.03
9-8-2019;21051.03
9-9-2019;21150.02
9-10-2019;22036.01
9-11-2019;22101.21
9-12-2019;22150.02
9-13-2019;21990.33
9-14-2019;21990.33
9-15-2019;21990.33
9-16-2019;21840.31
9-17-2019;21630.12
9-18-2019;21238.02
9-19-2019;20031.03
9-20-2019;20014.73
9-21-2019;20014.73
9-22-2019;20014.73
9-23-2019;20184.82
9-24-2019;20700.12
9-25-2019;21453.42
9-26-2019;21396.02
9-27-2019;21402.71
9-28-2019;21402.71
9-29-2019;21402.71
